QUANTIFIER,REAL_PREVS,PRED_PREVS,BATCH_SIZE,ae,nae
ACC,[0.11111111 0.88888889],[0. 1.],70,0.11110184103676507,0.062497066783473845
MAX,[0.11111111 0.88888889],[0.3422456 0.6577544],70,0.23111520701093152,0.1300070493202615
MS,[0.11111111 0.88888889],[0.09947603 0.90052397],70,0.01163410724639391,0.006544424203586068
MS2,[0.11111111 0.88888889],[0. 1.],70,0.11110184103676507,0.062497066783473845
PACC,[0.11111111 0.88888889],[0.97039595 0.02960405],70,0.8592131451167703,0.48332503593556037
T50,[0.11111111 0.88888889],[0.2520436 0.7479564],70,0.14092072822807905,0.07927080308535686
X_method,[0.11111111 0.88888889],[0.6680619 0.3319381],70,0.5569043183807845,0.3132701137358423
DyS,[0.11111111 0.88888889],[4.45523940e-05 9.99955448e-01],70,0.11105729235975348,0.06247200723795841
DySsyn,[0.11111111 0.88888889],[4.45523940e-05 9.99955448e-01],70,0.11105729235975348,0.06247200723795841
HDy,[0.11111111 0.88888889],[0.07 0.93],70,0.04110768118360316,0.023123914709885368
SMM,[0.11111111 0.88888889],[0.31008702 0.68991298],70,0.19895931247871967,0.11191869840448355
SORD,[0.11111111 0.88888889],[0.13 0.87],70,0.018887312976250042,0.010624501353190543
HDx,[0.11111111 0.88888889],[0.45 0.55],70,0.33886061516213356,0.19061605368959528
CC,[0.11111111 0.88888889],[0.03333333 0.96666667],90,0.07777128872573558,0.04374794674843171
PCC,[0.11111111 0.88888889],[0.15377778 0.84622222],90,0.0426631069581178,0.023998873644853962
EMQ,[0.11111111 0.88888889],[0.33430048 0.66569952],90,0.22317075096570027,0.12553812967515057
FM,[0.11111111 0.88888889],[0. 1.],90,0.11110184103676507,0.062497066783473845
GAC,[0.11111111 0.88888889],[0.27608497 0.72391503],90,0.16496009744585916,0.09279344185908364
GPAC,[0.11111111 0.88888889],[0. 1.],90,0.11110184103676507,0.062497066783473845
PWK,[0.11111111 0.88888889],[0.03333333 0.96666667],90,0.07777128872573558,0.04374794674843171
ACC,[0.11111111 0.88888889],[0.46305215 0.53694785],90,0.35191167428994485,0.19795754242006536
MAX,[0.11111111 0.88888889],[0.28190925 0.71809075],90,0.17078389009058859,0.09606944479885776
MS,[0.11111111 0.88888889],[0.16363652 0.83636348],90,0.052521030671783236,0.02954415814176402
MS2,[0.11111111 0.88888889],[0. 1.],90,0.11110184103676507,0.062497066783473845
PACC,[0.11111111 0.88888889],[1. 0.],90,0.8888147282941208,0.4999765342677909
T50,[0.11111111 0.88888889],[0.18528542 0.81471458],90,0.07416811935640112,0.04172108999604949
X_method,[0.11111111 0.88888889],[0. 1.],90,0.11110184103676507,0.062497066783473845
DyS,[0.11111111 0.88888889],[4.45523940e-05 9.99955448e-01],90,0.11105729235975348,0.06247200723795841
DySsyn,[0.11111111 0.88888889],[0.00234022 0.99765978],90,0.10876181736576829,0.06118075542196543
HDy,[0.11111111 0.88888889],[0.125 0.875],90,0.01388773012959564,0.007812133347934234
SMM,[0.11111111 0.88888889],[0.05351237 0.94648763],90,0.05759393729733277,0.032397772278170485
SORD,[0.11111111 0.88888889],[0.07 0.93],90,0.04110768118360316,0.023123914709885368
HDx,[0.11111111 0.88888889],[0. 1.],90,0.11110184103676507,0.062497066783473845
CC,[0.11111111 0.88888889],[0.04545455 0.95454545],110,0.06565108788536121,0.03693008491750729
PCC,[0.11111111 0.88888889],[0.16790909 0.83209091],110,0.05679324110452093,0.03194736422940669
EMQ,[0.11111111 0.88888889],[0.11062323 0.88937677],110,0.00048783763240776296,0.0002744186847632048
FM,[0.11111111 0.88888889],[0. 1.],110,0.11110184103676507,0.062497066783473845
GAC,[0.11111111 0.88888889],[0.16835935 0.83164065],110,0.05724345909422371,0.03220062109272243
GPAC,[0.11111111 0.88888889],[0.39998951 0.60001049],110,0.2888543025352065,0.16248647608155053
PWK,[0.11111111 0.88888889],[0.05454545 0.94545455],110,0.05656093725508039,0.03181668854431395
ACC,[0.11111111 0.88888889],[0.32695414 0.67304586],110,0.21582501809987065,0.12140600411174615
MAX,[0.11111111 0.88888889],[0.00161948 0.99838052],110,0.1094825003302782,0.06158615438693653
MS,[0.11111111 0.88888889],[0.20446593 0.79553407],110,0.09334702752880551,0.05250961963425979
MS2,[0.11111111 0.88888889],[0. 1.],110,0.11110184103676507,0.062497066783473845
PACC,[0.11111111 0.88888889],[0.82498494 0.17501506],110,0.7138142734531221,0.4015351852201456
T50,[0.11111111 0.88888889],[0.2192714 0.7807286],110,0.10815126569107357,0.060837307568787816
X_method,[0.11111111 0.88888889],[0. 1.],110,0.11110184103676507,0.062497066783473845
DyS,[0.11111111 0.88888889],[0.02154326 0.97845674],110,0.08956037775424375,0.050379551386622916
DySsyn,[0.11111111 0.88888889],[4.45523940e-05 9.99955448e-01],110,0.11105729235975348,0.06247200723795841
HDy,[0.11111111 0.88888889],[0.01 0.99],110,0.10110267534345627,0.05687233077296123
SMM,[0.11111111 0.88888889],[0.14710038 0.85289962],110,0.035986269931889386,0.020243015725339528
SORD,[0.11111111 0.88888889],[0.08 0.92],110,0.03110851549029426,0.0174991786993727
HDx,[0.11111111 0.88888889],[0. 1.],110,0.11110184103676507,0.062497066783473845
CC,[0.22222222 0.77777778],[0.1 0.9],10,0.12221202514044166,0.07856721434573509
PCC,[0.22222222 0.77777778],[0.186 0.814],10,0.03621920017798547,0.023284465342463326
EMQ,[0.22222222 0.77777778],[1.45756621e-06 9.99998542e-01],10,0.22220222462892306,0.142848543672015
FM,[0.22222222 0.77777778],[1. 0.],10,0.7777128872573558,0.4999731822001322
GAC,[0.22222222 0.77777778],[1. 0.],10,0.7777128872573558,0.4999731822001322
GPAC,[0.22222222 0.77777778],[0.97873503 0.02126497],10,0.7564496924812263,0.4863035782496904
PWK,[0.22222222 0.77777778],[1.],10,0.5,0.3214381492142384
ACC,[0.22222222 0.77777778],[0. 1.],10,0.22220368207353017,0.14284948062860917
MAX,[0.22222222 0.77777778],[0. 1.],10,0.22220368207353017,0.14284948062860917
MS,[0.22222222 0.77777778],[1. 0.],10,0.7777128872573558,0.4999731822001322
MS2,[0.22222222 0.77777778],[0. 1.],10,0.22220368207353017,0.14284948062860917
PACC,[0.22222222 0.77777778],[0.76251596 0.23748404],10,0.5402486572251115,0.3473130569878347
T50,[0.22222222 0.77777778],[0. 1.],10,0.22220368207353017,0.14284948062860917
X_method,[0.22222222 0.77777778],[0. 1.],10,0.22220368207353017,0.14284948062860917
DyS,[0.22222222 0.77777778],[0.64300774 0.35699226],10,0.4207504090560391,0.2704904655362139
DySsyn,[0.22222222 0.77777778],[4.45523940e-05 9.99955448e-01],10,0.2221591333965186,0.1428208413400321
HDy,[0.22222222 0.77777778],[0.505 0.495],10,0.28275418543856723,0.18177596409990524
SMM,[0.22222222 0.77777778],[0.76792778 0.23207222],10,0.5456600277131205,0.350791898816591
SORD,[0.22222222 0.77777778],[1. 0.],10,0.7777128872573558,0.4999731822001322
HDx,[0.22222222 0.77777778],[0. 1.],10,0.22220368207353017,0.14284948062860917
CC,[0.22222222 0.77777778],[0.1 0.9],30,0.12221202514044166,0.07856721434573509
PCC,[0.22222222 0.77777778],[0.15333333 0.84666667],30,0.06888314144279432,0.044283338994868825
EMQ,[0.22222222 0.77777778],[0.10162021 0.89837979],30,0.1205919498778564,0.07752570635774873
FM,[0.22222222 0.77777778],[0.70426371 0.29573629],30,0.4820012669187491,0.30986719031456167
GAC,[0.22222222 0.77777778],[0.12796224 0.87203776],30,0.09425212129097058,0.060592454854570994
GPAC,[0.22222222 0.77777778],[1. 0.],30,0.7777128872573558,0.4999731822001322
PWK,[0.22222222 0.77777778],[1.],30,0.5,0.3214381492142384
ACC,[0.22222222 0.77777778],[0.16363652 0.83636348],30,0.058580810364981875,0.0376602145263801
MAX,[0.22222222 0.77777778],[0.45085103 0.54914897],30,0.228609736430784,0.14696778114133213
MS,[0.22222222 0.77777778],[0.61275996 0.38724004],30,0.3905051550622597,0.2510465086036639
MS2,[0.22222222 0.77777778],[0.17152965 0.82847035],30,0.05068834135438592,0.03258633326338671
PACC,[0.22222222 0.77777778],[0.74005978 0.25994022],30,0.5177943589537519,0.3328777208313341
T50,[0.22222222 0.77777778],[0. 1.],30,0.22220368207353017,0.14284948062860917
X_method,[0.22222222 0.77777778],[0.57755737 0.42244263],30,0.35530550196350447,0.22841748591356967
DyS,[0.22222222 0.77777778],[0.2719354 0.7280646],30,0.04970902750187728,0.03195675559888622
DySsyn,[0.22222222 0.77777778],[4.45523940e-05 9.99955448e-01],30,0.2221591333965186,0.1428208413400321
HDy,[0.22222222 0.77777778],[0.62 0.38],30,0.39774459091161907,0.2557005703252105
SMM,[0.22222222 0.77777778],[0.10232336 0.89767664],30,0.11988885990851103,0.07707370648079379
SORD,[0.22222222 0.77777778],[0.57 0.43],30,0.3477487624450748,0.2235594371837734
HDx,[0.22222222 0.77777778],[0.7 0.3],30,0.47773791645809,0.3071263833515098
CC,[0.22222222 0.77777778],[0.04 0.96],50,0.1822070193002948,0.11713657411545955
PCC,[0.22222222 0.77777778],[0.1676 0.8324],50,0.054617665053673714,0.035112402338512136
EMQ,[0.22222222 0.77777778],[0.05220232 0.94779768],50,0.17000572076946519,0.10929264847993901
FM,[0.22222222 0.77777778],[0.07073202 0.92926798],50,0.15147756000203258,0.09738133306908421
GAC,[0.22222222 0.77777778],[0.75007773 0.24992227],50,0.5278114666969231,0.33931748197822326
GPAC,[0.22222222 0.77777778],[0.21479095 0.78520905],50,0.007430653733587561,0.004776991167152513
PWK,[0.22222222 0.77777778],[0.02 0.98],50,0.20220535068691248,0.12999302737203436
ACC,[0.22222222 0.77777778],[0. 1.],50,0.22220368207353017,0.14284948062860917
MAX,[0.22222222 0.77777778],[0.29880343 0.70119657],50,0.07657481779151923,0.049228135414646955
MS,[0.22222222 0.77777778],[0. 1.],50,0.22220368207353017,0.14284948062860917
MS2,[0.22222222 0.77777778],[0. 1.],50,0.22220368207353017,0.14284948062860917
PACC,[0.22222222 0.77777778],[0.75173699 0.24826301],50,0.529470594054859,0.34038409563271443
T50,[0.22222222 0.77777778],[0.28809301 0.71190699],50,0.06586529598201998,0.04234323767581704
X_method,[0.22222222 0.77777778],[0.37482723 0.62517277],50,0.15259227711115164,0.09809795827798956
DyS,[0.22222222 0.77777778],[0.54497586 0.45502414],50,0.32272671392861296,0.20747335525441266
DySsyn,[0.22222222 0.77777778],[4.45523940e-05 9.99955448e-01],50,0.2221591333965186,0.1428208413400321
HDy,[0.22222222 0.77777778],[0.155 0.845],50,0.06721661382724287,0.04321196789015427
SMM,[0.22222222 0.77777778],[0.47239942 0.52760058],50,0.2501563216091175,0.16081957006455305
SORD,[0.22222222 0.77777778],[0. 1.],50,0.22220368207353017,0.14284948062860917
HDx,[0.22222222 0.77777778],[0. 1.],50,0.22220368207353017,0.14284948062860917
CC,[0.22222222 0.77777778],[0.05714286 0.94285714],70,0.16506559239747962,0.10611675703839543
